	project_name	project_by	location	status	project_desciption	possesion_date	area	unit_type	Super_builduparea	Builder_price	Apartment	total_unit	rera_id
209	Mantri Energia	Mantri Group	Thanisandra	Under Construction	Situated right inside the Manyata Tech Park at Bangalore, the Mantri Energia real estate project has multiple attractions to offer to the residents. This project comes with 2 & 3BHK apartments. It seeks to create a soothing ambience for the residents amidst natural greenery. This has been strategically located right next to the Manyata Tech Park and lies in close proximity to the well-known Outer Ring Road that connects BIAL to the northward regions of the city. The project is only 3 kilometres away from the Columbia Asia hospital and 8 kilometres away from the MG Road and CBD. The airport less than 2 kilometres away and this will certainly be a major attraction for the customers. The project offer stylish and sleek apartments to the residents and epitomizes cosy and comfortable living.	Possession date: Dec'19	1355 sq ft(3BHK+3T)	3 BHK	985 - 1,355 sq ft	₹ 62.94 L - ₹ 86.58 L	2, 3 BHK	888	RERA ID: PR/KN/170731/000439
210	Sai Ultima	Sai Kalyan	Thanisandra	Under Construction	Thanisandra region of Bengaluru is a developing region for the prosperity of real estate business. Sai Kalyan Ultima organization is offering spacious apartments. The project is all set for moving in purpose. The required necessities like parks, petrol pumps, schools, restaurants, bus stations, ATMs, banks, hospitals etc in the neighbourhood. This neighbourhood of Mumbai is very much popular as many other real estate companies have settled their business in this region. The project offers other amenities like an intercom, security for 24 hours and power back up. The price of the apartments is based on the request value.	Possession date: Dec'19	2100 sq ft(3BHK+3T)	3 BHK	1,030 - 2,100 sq ft	₹ 48.41 L - ₹ 98.70 L	2, 3 BHK	244	RERA ID: PR/KN/170808/001218
211	Unishire Indira Elan	Unishire Projects Pvt Ltd	Thanisandra	Under Construction	Unishire Group, a Karnataka based real estate firm, has launched Indira Elan in Thanisandra, Bangalore. All of them are developed by Unishire group of companies over an area of 3 acres. Numerous amenities are offered at Indira Elan to improve the standard of your life, including basketball court, community hall, Wi-Fi connectivity, lifts/elevators, one tank overhead to store bore-well water, clubhouse, 24X7 security, ample space for car parking, rain water harvesting system, well-featured play area for kids, well-equipped gymnasium and a lot more. As Indira Elan is located in Thanisandra, Bangalore, it can easily be accessed from Nagavara Circle and close to the Outer Ring Road. All this together makes Indira Elan apartments a project worth investing in.	Possession date: Jul'22	1471 sq ft(3BHK+3T)	3 BHK	936 - 1,471 sq ft	₹ 45.40 L - ₹ 71.34 L	2, 3 BHK	230	
212	Unishire Terraza	Unishire Projects Pvt Ltd	Thanisandra	Under Construction	Unishire Terraza is a residential project which offers simplex homes having private terraces with triple sided open spaces. Each apartment here is designed in a way which will provide good ventilation. The rooms have enough space and have good lightening systems. It is located at Thanisandra in Bangalore. The location is highly developed with lots of facilities like schools, malls, hospitals etc. The location is basic and has various important destinations across it. One who loves to live at a place with environmental beauty can avail the opportunity.The infrastructure is beautifully designed as it offers good living space with French windows and good architecture work.	Possession date: Dec'18	2516 sq ft(4BHK+4T)	4 BHK	1,420 - 2,516 sq ft	₹ 1.06 Cr - ₹ 1.21 Cr	2, 3, 4 BHK	182	
213	DS Star Nest	DS Max Properties	Kengeri	Under Construction	Kengeri in Bengaluru has ready to move in project of premium apartments by the DS Max Star Nest Real Estate Company. The neighbourhood is well settled with schools, banks, ATMs, hospitals, office complex, play schools, bus stands and restaurants etc. Other amenities that this project offers are a nice landscape, well-maintained sewage lines, a gym, rainwater harvesting system, 24x7 security services, a jogging track and a children’s playground area. The price of the apartments is based on request.	Possession date: Aug'19	1532 sq ft(3BHK+3T)	3 BHK	797 - 1,532 sq ft	₹ 25.70 L - ₹ 32.65 L	2, 3 BHK	132	RERA ID: PR/KN/170824/001429
214	Habitat Iluminar	Habitat	Kengeri	Under Construction		Possession date: Dec'20	1432 sq ft(3BHK+3T)	3 BHK	999 - 1,432 sq ft	₹ 43.66 L - ₹ 62.58 L	2, 3 BHK	412	RERA ID: PR/KN/170728/000183
215	Platina Exotica	Platina Venture	Kengeri	Under Construction	Platina Exotica by Platina Venture is located in Kengeri Bangalore. Current status of properties in Platina Exotica are Under Construction. Platina Exotica renders purity and perfection where life manifests itself in ways that has rarely been explored before. Platina Exotica in Kengeri offers the choice of 2 BHK, 3 BHK options that are meticulously designed and exclusively planned with world class amenities and top line specifications. Platina Exotica by Platina Venture offers a total of 200 well-planned and perfectly-designed units. Dwellers will admire the exquisite properties as it includes a multitude of high-end features and many gorgeous amenities like Multipurpose Room, Car Parking, Maintenance Staff, Sports Facility, Jogging Track, Intercom. Come and explore what living at Platina Exotica is all about. We assure you that the properties in Platina Venture Platina Exotica will complement your style of living. Loan sanction is easily available from leading banks like LIC, Axis Bank.	Possession date: Dec'18	1692 sq ft(3BHK+3T)	3 BHK	1,015 - 1,692 sq ft	₹ 40.60 L - ₹ 67.68 L	2, 3 BHK	112	
216	Pioneer Kingstown	Pioneer Developers	Kudlu	Under Construction	Launched by Pioneer Developers, Kingstown, is a premium housing project located at Kudlu in Bangalore. Offering 2, 3 BHK Apartment in Hosur Road are available from 1205 sqft to 1682 sqft. This project hosts amenities like Swimming Pool, Video Door Phone, Landscaped Gardens, Yoga and Meditation, Half Basketball Court etc. Available at attractive price points starting at @Rs 4,099 per sqft, the Apartment are available for sale from Rs 49.39 lacs to Rs 68.95 lacs. The project is Under Construction project and possession in Feb 19.	Possession date: Feb'19	1682 sq ft(3BHK+3T)	3 BHK	1,205 - 1,682 sq ft	₹ 49.39 L - ₹ 68.95 L	2, 3 BHK	81	RERA ID: PR/KN/170731/000266
217	RS Sanchike	RS Properties Bangalore	Kengeri	Under Construction	Sanchike is launched by RS Properties and is located in Kengeri, Bengaluru. The amenities include a gymnasium, a swimming pool, a children’s play area, a club house, a multipurpose room, a sports facility, a rainwater harvesting, an intercom, 24x7 security, a jogging track, a power backup, landscaped gardens, an indoor games provision, a maintenance staff, a car parking, a lift and several others. This town in Bengaluru has some famous attractions like Anjaneya Temple, The Veerashaivas and Savan Durbar Ashram of Radhaswamy Satsang and Nithyananda Dyana Ashram. Kengeri offers good connectivity to major areas in the city and is only 1.5 kilometers away from Bengaluru. The Mysore Road is crucial in connecting this area to other parts of Bengaluru. Though it’s on outskirt of Kengeri and promotes a host of reputed educational institutions. The average property price in Kengeri is Rs3, 255 per square feet. 78020Sahil Developers has launched Anand and is located in Katraj, Pune. This house community hosts amenities such as a children’s play area, a rainwater harvesting, 24x7 security, a power backup, landscaped gardens, a maintenance staff, a car parking, a lift, gated community, a meditation area, a jogging track, a paved compound, firefighting system, a conference room, internal roads and few others. Strategically situated in the Pune Link Road, Katraj. It boasts smooth connectivity to the prominent areas of the locality. The Central Railway Station is at a distance of 13 kilometers. The average real estate price in this area is Rs. 4, 233 per square feet. ACME Landmark, Gagan Properties, Anshul Realties, Amit Housing etc. are the key developers of this locality.	Possession date: Sep'19	1670 sq ft(3BHK+3T + Servant Room)	3 BHK	1,118 - 1,670 sq ft	₹ 40.25 L - ₹ 60.12 L	2, 3 BHK	120	
218	Meda Greens	Meda Group	Kengeri	Under Construction	Greens launched by Meda Structures is located at Kengeri in Bengaluru. It offers 2 and 3 BHK apartments to buyers. The amenities included a gymnasium, a swimming pool, a children play area, a club house, a multipurpose room, a jogging track, a power backup provision, landscaped gardens, a car parking area and an elevator. This town in Bengaluru has some famous attractions like Anjaneya Temple, The Veerashaivas and Savan Durbar Ashram of Radhaswamy Satsang and Nithyananda Dyana Ashram. Kengeri offers good connectivity to major areas in the city and is only 1.5 kilometres away from Bengaluru. The Mysore Road is crucial in connecting this area to other parts of Bengaluru. Though its an outskirt, Kengeri boasts a host of reputed educational institutions.	Possession date: Jul'19	1718 sq ft(3BHK+3T)	3 BHK	1,190 - 1,718 sq ft	₹ 45.22 L - ₹ 65.28 L	2, 3 BHK	260	RERA ID: PR/KN/170731/000831
219	DS Satellite	DS Max Properties	Kengeri	Under Construction		Possession date: Sep'20	1366 sq ft(3BHK+3T)	3 BHK	786 - 1,366 sq ft	₹ 26.34 L - ₹ 30.27 L	2, 3 BHK	144	RERA ID: PR/KN/170831/001819
220	Vaishnavi North 24	Vaishnavi Group Bangalore	Hebbal	Under Construction	The Vaishnavi North 24 Company has built up their excellent project in the Hebbal region of Bengaluru. This organization offers premium apartments. The locality is well settled with all kinds of facilities available within a kilometre like hospital, banking, ATM, petrol pump, bus station, school, play school, restaurant, and train station school for higher secondary education, park, metro station etc. The project offers many amenities like gym, club house, intercom, security system, power back up and much more. The entire project is all set for moving in purpose. The area of the apartments is based on the request value along with the price of each and every apartment.	Possession date: Dec'19	1939 sq ft(3BHK+3T)	3 BHK	1,160 - 1,939 sq ft	₹ 73.08 L - ₹ 1.22 Cr	2, 3 BHK	116	RERA ID: PR/KN/170811/001266
221	DS Smart Nest	DS Max Properties	Hesaraghatta	Under Construction	Smart Nest by DS Max, located in Hesaraghatta, Bangalore, offers apartments. Situated in the suburbs of north Bangalore, Hesaraghatta is one of the most popular localities to have property in the region. The key builders include Janapriya, Mahaveer, DS Max, Paschim Developers, Hiland Realty and Kadam Group.There are numerous educational institutions, public and private hospitals, shopping zones, and recreational centres in the vicinity. Mahaveer Desire and Janapriya Greenwood are other major projects of this area. This residential hotspot has become a favourite destination for realty investors.	Possession date: Nov'18	1326 sq ft(3BHK+2T)	3 BHK	734 - 1,326 sq ft	₹ 20.74 L	1, 2, 3 BHK	180	
222	Prabhavathi Fortune	Prabhavathi	Jigani	On Hold		Possession date: Oct'18	1350 sq ft(3BHK+2T)	3 BHK	515 - 1,350 sq ft	₹ 13.39 L - ₹ 23.14 L	1, 2, 3 BHK	75	
